,exchange,cal_date,is_open,pretrade_date
113,SSE,20230909,0,20230908
114,SSE,20230908,1,20230907
115,SSE,20230907,1,20230906
116,SSE,20230906,1,20230905
117,SSE,20230905,1,20230904
118,SSE,20230904,1,20230901
119,SSE,20230903,0,20230901
120,SSE,20230902,0,20230901
121,SSE,20230901,1,20230831
122,SSE,20230831,1,20230830
123,SSE,20230830,1,20230829
124,SSE,20230829,1,20230828
125,SSE,20230828,1,20230825
126,SSE,20230827,0,20230825
127,SSE,20230826,0,20230825
128,SSE,20230825,1,20230824
129,SSE,20230824,1,20230823
130,SSE,20230823,1,20230822
131,SSE,20230822,1,20230821
132,SSE,20230821,1,20230818
133,SSE,20230820,0,20230818
134,SSE,20230819,0,20230818
135,SSE,20230818,1,20230817
136,SSE,20230817,1,20230816
137,SSE,20230816,1,20230815
138,SSE,20230815,1,20230814
139,SSE,20230814,1,20230811
140,SSE,20230813,0,20230811
141,SSE,20230812,0,20230811
142,SSE,20230811,1,20230810
143,SSE,20230810,1,20230809
144,SSE,20230809,1,20230808
145,SSE,20230808,1,20230807
146,SSE,20230807,1,20230804
147,SSE,20230806,0,20230804
148,SSE,20230805,0,20230804
149,SSE,20230804,1,20230803
150,SSE,20230803,1,20230802
151,SSE,20230802,1,20230801
152,SSE,20230801,1,20230731
153,SSE,20230731,1,20230728
154,SSE,20230730,0,20230728
155,SSE,20230729,0,20230728
156,SSE,20230728,1,20230727
157,SSE,20230727,1,20230726
158,SSE,20230726,1,20230725
159,SSE,20230725,1,20230724
160,SSE,20230724,1,20230721
161,SSE,20230723,0,20230721
162,SSE,20230722,0,20230721
163,SSE,20230721,1,20230720
164,SSE,20230720,1,20230719
165,SSE,20230719,1,20230718
166,SSE,20230718,1,20230717
167,SSE,20230717,1,20230714
168,SSE,20230716,0,20230714
169,SSE,20230715,0,20230714
170,SSE,20230714,1,20230713
171,SSE,20230713,1,20230712
172,SSE,20230712,1,20230711
173,SSE,20230711,1,20230710
174,SSE,20230710,1,20230707
175,SSE,20230709,0,20230707
176,SSE,20230708,0,20230707
177,SSE,20230707,1,20230706
178,SSE,20230706,1,20230705
179,SSE,20230705,1,20230704
180,SSE,20230704,1,20230703
181,SSE,20230703,1,20230630
182,SSE,20230702,0,20230630
183,SSE,20230701,0,20230630
184,SSE,20230630,1,20230629
185,SSE,20230629,1,20230628
186,SSE,20230628,1,20230627
187,SSE,20230627,1,20230626
188,SSE,20230626,1,20230621
189,SSE,20230625,0,20230621
190,SSE,20230624,0,20230621
191,SSE,20230623,0,20230621
192,SSE,20230622,0,20230621
193,SSE,20230621,1,20230620
194,SSE,20230620,1,20230619
195,SSE,20230619,1,20230616
196,SSE,20230618,0,20230616
197,SSE,20230617,0,20230616
198,SSE,20230616,1,20230615
199,SSE,20230615,1,20230614
200,SSE,20230614,1,20230613
201,SSE,20230613,1,20230612
202,SSE,20230612,1,20230609
203,SSE,20230611,0,20230609
204,SSE,20230610,0,20230609
205,SSE,20230609,1,20230608
206,SSE,20230608,1,20230607
207,SSE,20230607,1,20230606
208,SSE,20230606,1,20230605
209,SSE,20230605,1,20230602
210,SSE,20230604,0,20230602
211,SSE,20230603,0,20230602
212,SSE,20230602,1,20230601
213,SSE,20230601,1,20230531
214,SSE,20230531,1,20230530
215,SSE,20230530,1,20230529
216,SSE,20230529,1,20230526
217,SSE,20230528,0,20230526
218,SSE,20230527,0,20230526
219,SSE,20230526,1,20230525
220,SSE,20230525,1,20230524
221,SSE,20230524,1,20230523
222,SSE,20230523,1,20230522
223,SSE,20230522,1,20230519
224,SSE,20230521,0,20230519
225,SSE,20230520,0,20230519
226,SSE,20230519,1,20230518
227,SSE,20230518,1,20230517
228,SSE,20230517,1,20230516
229,SSE,20230516,1,20230515
230,SSE,20230515,1,20230512
231,SSE,20230514,0,20230512
232,SSE,20230513,0,20230512
233,SSE,20230512,1,20230511
234,SSE,20230511,1,20230510
235,SSE,20230510,1,20230509
236,SSE,20230509,1,20230508
237,SSE,20230508,1,20230505
238,SSE,20230507,0,20230505
239,SSE,20230506,0,20230505
240,SSE,20230505,1,20230504
241,SSE,20230504,1,20230428
242,SSE,20230503,0,20230428
243,SSE,20230502,0,20230428
244,SSE,20230501,0,20230428
245,SSE,20230430,0,20230428
246,SSE,20230429,0,20230428
247,SSE,20230428,1,20230427
248,SSE,20230427,1,20230426
249,SSE,20230426,1,20230425
250,SSE,20230425,1,20230424
251,SSE,20230424,1,20230421
252,SSE,20230423,0,20230421
253,SSE,20230422,0,20230421
254,SSE,20230421,1,20230420
255,SSE,20230420,1,20230419
256,SSE,20230419,1,20230418
257,SSE,20230418,1,20230417
258,SSE,20230417,1,20230414
259,SSE,20230416,0,20230414
260,SSE,20230415,0,20230414
261,SSE,20230414,1,20230413
262,SSE,20230413,1,20230412
263,SSE,20230412,1,20230411
264,SSE,20230411,1,20230410
265,SSE,20230410,1,20230407
266,SSE,20230409,0,20230407
267,SSE,20230408,0,20230407
268,SSE,20230407,1,20230406
269,SSE,20230406,1,20230404
270,SSE,20230405,0,20230404
271,SSE,20230404,1,20230403
272,SSE,20230403,1,20230331
273,SSE,20230402,0,20230331
274,SSE,20230401,0,20230331
275,SSE,20230331,1,20230330
276,SSE,20230330,1,20230329
277,SSE,20230329,1,20230328
278,SSE,20230328,1,20230327
279,SSE,20230327,1,20230324
280,SSE,20230326,0,20230324
281,SSE,20230325,0,20230324
282,SSE,20230324,1,20230323
283,SSE,20230323,1,20230322
284,SSE,20230322,1,20230321
285,SSE,20230321,1,20230320
286,SSE,20230320,1,20230317
287,SSE,20230319,0,20230317
288,SSE,20230318,0,20230317
289,SSE,20230317,1,20230316
290,SSE,20230316,1,20230315
291,SSE,20230315,1,20230314
292,SSE,20230314,1,20230313
293,SSE,20230313,1,20230310
294,SSE,20230312,0,20230310
295,SSE,20230311,0,20230310
296,SSE,20230310,1,20230309
297,SSE,20230309,1,20230308
298,SSE,20230308,1,20230307
299,SSE,20230307,1,20230306
300,SSE,20230306,1,20230303
301,SSE,20230305,0,20230303
302,SSE,20230304,0,20230303
303,SSE,20230303,1,20230302
304,SSE,20230302,1,20230301
305,SSE,20230301,1,20230228
306,SSE,20230228,1,20230227
307,SSE,20230227,1,20230224
308,SSE,20230226,0,20230224
309,SSE,20230225,0,20230224
310,SSE,20230224,1,20230223
311,SSE,20230223,1,20230222
312,SSE,20230222,1,20230221
313,SSE,20230221,1,20230220
314,SSE,20230220,1,20230217
315,SSE,20230219,0,20230217
316,SSE,20230218,0,20230217
317,SSE,20230217,1,20230216
318,SSE,20230216,1,20230215
319,SSE,20230215,1,20230214
320,SSE,20230214,1,20230213
321,SSE,20230213,1,20230210
322,SSE,20230212,0,20230210
323,SSE,20230211,0,20230210
324,SSE,20230210,1,20230209
325,SSE,20230209,1,20230208
326,SSE,20230208,1,20230207
327,SSE,20230207,1,20230206
328,SSE,20230206,1,20230203
329,SSE,20230205,0,20230203
330,SSE,20230204,0,20230203
331,SSE,20230203,1,20230202
332,SSE,20230202,1,20230201
333,SSE,20230201,1,20230131
334,SSE,20230131,1,20230130
335,SSE,20230130,1,20230120
336,SSE,20230129,0,20230120
337,SSE,20230128,0,20230120
338,SSE,20230127,0,20230120
339,SSE,20230126,0,20230120
340,SSE,20230125,0,20230120
341,SSE,20230124,0,20230120
342,SSE,20230123,0,20230120
343,SSE,20230122,0,20230120
344,SSE,20230121,0,20230120
345,SSE,20230120,1,20230119
346,SSE,20230119,1,20230118
347,SSE,20230118,1,20230117
348,SSE,20230117,1,20230116
349,SSE,20230116,1,20230113
350,SSE,20230115,0,20230113
351,SSE,20230114,0,20230113
352,SSE,20230113,1,20230112
353,SSE,20230112,1,20230111
354,SSE,20230111,1,20230110
355,SSE,20230110,1,20230109
356,SSE,20230109,1,20230106
357,SSE,20230108,0,20230106
358,SSE,20230107,0,20230106
359,SSE,20230106,1,20230105
360,SSE,20230105,1,20230104
361,SSE,20230104,1,20230103
362,SSE,20230103,1,20221230
363,SSE,20230102,0,20221230
364,SSE,20230101,0,20221230
